gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
GLOD5,0.3437233599949926,1.778616513157775e-06,184,0.34887481936340375,6.1480008678037234e-06,161,0.4753180863742589,1.0531261666527818e-11,1.441029032258064,0.9845059811827956,up_in_TGM2high,3.5686344142204074e-06,1.3090641303554867e-05,2.7018728701829566e-11
ARMCX3,0.3723307065606501,1.9455044793293631e-07,184,0.34868476009829386,6.224851704509761e-06,161,0.3503370983017336,1.163405664414713e-06,0.8795967741935495,0.8198023521505373,up_in_TGM2high,4.930711757328669e-07,1.3200803042226265e-05,1.4536765387696812e-06
SYNPR,0.31615306750878897,1.2314203583925486e-05,184,0.3486428670534425,6.241913259583027e-06,161,0.3631330321949564,4.366406910722348e-07,0.950803225806452,1.33790625,up_in_TGM2high,2.050183894557807e-05,1.3200803042226265e-05,5.778796461125137e-07
FOXA2,0.33769064677433946,2.7603595187727937e-06,184,0.34843393663576283,6.3276669387641945e-06,161,0.44077527864281907,4.250755276499237e-10,3.2133016129032246,2.192054435483871,up_in_TGM2high,5.349798943503929e-06,1.3299278310963194e-05,8.238305891914931e-10
ProSAPiP1,0.29481805397699906,4.854588810092118e-05,184,0.34842595165426693,6.330966352503246e-06,161,0.41454688554426,5.40829559613356e-09,1.0515112903225798,0.7312710349462357,up_in_TGM2high,7.050980499112915e-05,1.3299278310963194e-05,9.028248115145624e-09
ARSD,0.29358517462580186,5.238136687218427e-05,184,0.3482549413136842,6.402020815713278e-06,161,0.40152726466587996,1.766694120802041e-08,0.7022661290322549,0.7024975134408589,up_in_TGM2high,7.555469046540866e-05,1.340356197537295e-05,2.7205178675001487e-08
TAC3,0.3098895520527796,1.8625871575266453e-05,184,0.3480978264725622,6.467967226334204e-06,161,0.4048184206471089,1.3160625122219548e-08,0.9682741935483874,1.0311138440860217,up_in_TGM2high,2.9896911810555895e-05,1.3496491612284038e-05,2.0963234927504928e-08
SUSD2,0.43103773766639053,1.0088824870191034e-09,184,0.34757019231288144,6.694175200639631e-06,161,0.3848172437577947,7.506087719595237e-08,1.2676241935483867,0.8492807795698925,up_in_TGM2high,6.0726965084034495e-09,1.3922105234552856e-05,1.0606796642136836e-07
CGN,0.3275240315154784,5.6713800780918205e-06,184,0.34732285708425076,6.8027746747410045e-06,161,0.5095135071967862,1.759205034326594e-13,1.661609677419353,1.5522037634408594,up_in_TGM2high,1.0086033888879204e-05,1.4101115716516121e-05,7.106638453158285e-13
SHROOM4,0.45263742397446255,1.1121761697215751e-10,184,0.3471711330664795,6.870217121627158e-06,161,0.40905584021764474,8.965381575017832e-09,1.286964516129034,0.6929297043010774,up_in_TGM2high,9.946032603510084e-10,1.4193913921249507e-05,1.4427580632290908e-08
LRRC31,0.3465263945193843,1.4455151904815673e-06,184,0.3460969946903618,7.366112880652666e-06,161,0.4849860384946153,3.466266598677738e-12,2.8100758064516134,1.590591129032258,up_in_TGM2high,2.9475326033923816e-06,1.5168377181870292e-05,1.009247856173146e-11
SLC44A4,0.3428395302535662,1.898010034476803e-06,184,0.3459941809118234,7.415316652050947e-06,161,0.5045415844180715,3.282025796729258e-13,4.078988709677418,3.1404424059139773,up_in_TGM2high,3.781758766886316e-06,1.5219633521914405e-05,1.2527732614344607e-12
